Episode,Reward,Round,Accuracy
0,-6.267370586847749,10,0.8566
1,-4.732201839819374,10,0.8781
2,-5.041021494564298,10,0.8864
3,-4.378658539145956,10,0.917
4,-4.344342903827573,10,0.9036
5,-5.071172539953871,10,0.8679
6,-4.24704819860969,10,0.7369
7,-4.229812494619151,10,0.893
