1,87.5800
2,85.1300
3,89.3900
4,93.2800
5,94.0600
6,94.7700
7,95.2900
8,95.0600
9,95.7800
10,95.8800
11,96.6500
12,96.5900
13,97.0200
1,81.9700
2,85.6100
3,84.7100
4,92.9300
5,93.2700
6,93.9100
7,95.1500
8,95.0800
9,95.5400
10,96.2400
11,95.6200
12,96.7500
13,95.2800
14,96.1200
15,96.3300
16,96.9600
17,97.1300
18,96.9800
19,97.2400
20,97.3200
21,97.3600
22,97.2200
23,97.4300
24,97.7000
25,97.5700
26,97.3800
27,97.5800
28,96.3400
1,81.9700
2,86.9800
3,87.6800
4,93.2000
5,90.9100
6,94.1400
7,93.8100
8,92.9700
9,95.5600
10,95.2700
11,96.3400
12,95.8500
13,95.2100
14,96.5000
15,96.7900
16,96.4800
17,96.6600
18,96.7600
19,97.2500
20,97.0000
21,97.2300
22,97.1900
23,97.3300
24,97.2700
25,97.0500
26,97.2300
27,97.3000
28,97.5700
29,97.0600
30,97.5000
31,97.2800
32,97.4200
33,97.4300
34,97.3600
35,97.2800
36,97.3700
37,96.0000
38,97.1200
39,97.2400
40,96.7800
41,96.4700
42,97.6700
43,96.7900
44,96.4800
45,96.5600
